Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
CN113371890B,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN113354213B,RECOVERY RESOURCES,NITROGEN,,,
CN113354213B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113354213B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN113354213B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113289494B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN113289494B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN113289494B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113087364B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN113087364B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN113087364B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113088702B,RECOVERY RESOURCES,GENERAL RESOURCES,,,
CN113088702B,RECOVERY RESOURCES,COPPER,,,
CN113088702B,RECOVERY RESOURCES,OTHER METALS,,,
CN113088702B,RECOVERY RESOURCES,SULPHUR,,,
CN113088702B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113088702B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN113088702B,RECOVERED RESOURCE APPLICATIONS,METALLURGY/ COAL INDUSTRY,,,
RU2016105996A3,RECOVERY RESOURCES,HEAT/ ENERGY,,,
RU2016105996A3,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
RU2016105996A3,RECOVERY SOURCES,GENERAL WASTEWATER,,,
EP3413989B1,RECOVERY RESOURCES,OTHER RESOURCES,,,
EP3413989B1,RECOVERY SOURCES,SEWAGE SLUDGE,,,
EP3413989B1,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
EP3413989B1,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
FR3043758B1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
FR3043758B1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
FR3043758B1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
FR3043758B1,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
EP3369710A4,RECOVERY RESOURCES,AMMONIUM COMPOUNDS,,,
EP3369710A4,RECOVERY TECHNOLOGY,ELECTRODIALYSIS,,,
EP3369710A4,RECOVERY SOURCES,GENERAL WASTEWATER,,,
EP3145873B1,RECOVERY RESOURCES,OTHER METALS,,,
EP3145873B1,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
EP3145873B1,RECOVERY SOURCES,GENERAL WASTEWATER,,,
EP3145873B1,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
FR3017192B1,RECOVERY RESOURCES,HEAT/ ENERGY,,,
FR3017192B1,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
FR3017192B1,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
FR3017192B1,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
EP2792949A3,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
EP2792949A3,RECOVERY TECHNOLOGY,USING ACIDS,,,
EP2792949A3,RECOVERY SOURCES,GENERAL WASTEWATER,,,
EP2792949A3,RECOVERY SOURCES,SEWAGE SLUDGE,,,
EP3117153A4,RECOVERY RESOURCES,HEAT/ ENERGY,,,
EP3117153A4,RECOVERY TECHNOLOGY,OTHER RECOVERY AGENTS,,,
EP3117153A4,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113072267B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113072267B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN113045176B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN113045176B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN113048648B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN113048648B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN113048648B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN113023817B,RECOVERY RESOURCES,NITROGEN,,,
CN113023817B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN113023817B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN113023817B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN112939272B,RECOVERY RESOURCES,AMMONIA,,,
CN112939272B,RECOVERY RESOURCES,NITROGEN,,,
CN112939272B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN112939272B,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN112811502B,RECOVERY RESOURCES,AMMONIA,,,
CN112811502B,RECOVERY RESOURCES,NITROGEN,,,
CN112811502B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN112811502B,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN112812058B,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
CN112812058B,RECOVERY RESOURCES,OTHER ACIDS,,,
CN112812058B,RECOVERY SOURCES,ACIDIC WASTEWATER,,,
CN112759035B,RECOVERY RESOURCES,OTHER METALS,,,
CN112759035B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112759035B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN112759035B,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
CN112830637B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112830637B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112830637B,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN112645448B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112645448B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN112645448B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN112645448B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112645448B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
KR102231778B9,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
KR102231778B9,RECOVERY RESOURCES,OTHER RESOURCES,,,
KR102231778B9,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112499886B,RECOVERY RESOURCES,NITROGEN,,,
CN112499886B,RECOVERY RESOURCES,NUTRIENTS,,,
CN112499886B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112499886B,RECOVERY RESOURCES,CARBON,,,
CN112499886B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN112499886B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112499886B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112499886B,RECOVERED RESOURCE APPLICATIONS,POWER GENERATION,,,
CN112240645B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN112240645B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112093846B,RECOVERY RESOURCES,NITROGEN,,,
CN112093846B,RECOVERY RESOURCES,NUTRIENTS,,,
CN112093846B,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
CN112093846B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112093846B,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN112093846B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112093846B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112079532B,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
CN112079532B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112079532B,RECOVERY RESOURCES,CARBON,,,
CN112079532B,RECOVERY TECHNOLOGY,USING ADSORBENT,,,
CN112079532B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN112079532B,RECOVERY TECHNOLOGY,PRECIPITATION,,,
CN112079532B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN112079532B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN112079532B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112062189B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN112062189B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN112062189B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN112062189B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN112007615B,RECOVERY RESOURCES,SULPHUR,,,
CN112007615B,RECOVERY SOURCES,GENERAL INDUSTRIAL WASTE,,,
CN111943327B,RECOVERY RESOURCES,OTHER ACIDS,,,
CN111943327B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN111943327B,RECOVERY SOURCES,ACIDIC WASTEWATER,,,
CN111825258B,RECOVERY RESOURCES,AMMONIA,,,
CN111825258B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN111825258B,RECOVERY RESOURCES,HYDROCARBON,,,
CN111825258B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN111825258B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN111825258B,RECOVERY SOURCES,AMMONIA CONTAINING WASTEWATER,,,
CN111807637B,RECOVERY RESOURCES,HYDROCARBON,,,
CN111807637B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN111807637B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN111807637B,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN111721153B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN111721153B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN111721153B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN111559836B,RECOVERY RESOURCES,AMMONIA,,,
CN111559836B,RECOVERY RESOURCES,NITROGEN,,,
CN111559836B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN111559836B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN111559836B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN111559836B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN111559836B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN111536514B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN111536514B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN111536514B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN111536514B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN112520852B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN112520852B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN112520852B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN111256501B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN111256501B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN111153550B,RECOVERY RESOURCES,AMMONIA,,,
CN111153550B,RECOVERY RESOURCES,NITROGEN,,,
CN111153550B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN111153550B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN111153550B,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN111153550B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN111153550B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN111099790B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN111099790B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN111099790B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN111099790B,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
CN111056710B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN111056710B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110671955B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN110671955B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110668560B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN110668560B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN110668560B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN110437052B,RECOVERY RESOURCES,HYDROCARBON,,,
CN110437052B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN110437052B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110395822B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN110395822B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110395816B,RECOVERY RESOURCES,SULFURIC ACID,,,
CN110395816B,RECOVERY RESOURCES,OTHER ACIDS,,,
CN110395816B,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
CN110395816B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110316913B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN110316913B,RECOVERY TECHNOLOGY,ELECTRODIALYSIS,,,
CN110316913B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110330143B,RECOVERY RESOURCES,AMMONIA,,,
CN110330143B,RECOVERY RESOURCES,NITROGEN,,,
CN110330143B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN110330143B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110330143B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110332825B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN110332825B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN110330001B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN110330001B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110330001B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN110282783B,RECOVERY RESOURCES,CALCIUM COMPOUNDS,,,
CN110282783B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110282783B,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN110282798B,RECOVERY RESOURCES,HYDROCARBON,,,
CN110282798B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110282798B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN110282798B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN110228887B,RECOVERY RESOURCES,AMMONIA,,,
CN110228887B,RECOVERY RESOURCES,NITROGEN,,,
CN110228887B,RECOVERY RESOURCES,CARBON,,,
CN110228887B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN110204033B,RECOVERY RESOURCES,AMMONIA,,,
CN110204033B,RECOVERY RESOURCES,NITROGEN,,,
CN110204033B,RECOVERY TECHNOLOGY,ELECTROCHEMICAL TREATMENT,,,
CN110204033B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN110204033B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110204033B,RECOVERED RESOURCE APPLICATIONS,AGRICULTURAL PURPOSES,,,
CN110092551B,RECOVERY RESOURCES,AMMONIA,,,
CN110092551B,RECOVERY RESOURCES,NITROGEN,,,
CN110092551B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN110092551B,RECOVERY TECHNOLOGY,DENITRIFICATION,,,
CN110092523B,RECOVERY RESOURCES,AMMONIA,,,
CN110092523B,RECOVERY RESOURCES,PHOSPHORIC ACID,,,
CN110092523B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN110092523B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110016561B,RECOVERY RESOURCES,OTHER METALS,,,
CN110016561B,RECOVERY RESOURCES,MICROALGAE,,,
CN110016561B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN110016561B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN110016561B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN110016561B,RECOVERED RESOURCE APPLICATIONS,METALLURGY/ COAL INDUSTRY,,,
CN109912096B,RECOVERY RESOURCES,AMMONIA,,,
CN109912096B,RECOVERY RESOURCES,COPPER,,,
CN109912096B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109912171B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109912171B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109879510B,RECOVERY RESOURCES,AMMONIA,,,
CN109879510B,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN109879510B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109879510B,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN109796494B,RECOVERY RESOURCES,ORGANIC ELEMENT,,,
CN109796494B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109796494B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109796494B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN109796101B,RECOVERY RESOURCES,AMMONIA,,,
CN109796101B,RECOVERY RESOURCES,HYDROCARBON,,,
CN109796101B,RECOVERY TECHNOLOGY,RECTIFICATION,,,
CN109796101B,RECOVERY TECHNOLOGY,CONDENSATION,,,
CN109796101B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109798696B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109798696B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109798696B,RECOVERED RESOURCE APPLICATIONS,GENERAL INDUSTRY,,,
CN109798696B,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
CN109748444B,RECOVERY RESOURCES,AMMONIA,,,
CN109748444B,RECOVERY RESOURCES,NITROGEN,,,
CN109748444B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109748444B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN109734219B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109734219B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109734219B,RECOVERED RESOURCE APPLICATIONS,DOMESTIC INDUSTRY,,,
CN109707182B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109707182B,RECOVERY SOURCES,BATH/ URINE WASTEWATER,,,
CN109650555B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109650555B,RECOVERY RESOURCES,MICROALGAE,,,
CN109650555B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109626715B,RECOVERY RESOURCES,SULFURIC ACID,,,
CN109626715B,RECOVERY RESOURCES,AMMONIUM SULFATE,,,
CN109626715B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109626715B,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN109626715B,RECOVERY TECHNOLOGY,EVAPORATIVE CRYSTALLIZATION,,,
CN109626715B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109592785B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109592785B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109574324B,RECOVERY RESOURCES,AMMONIA,,,
CN109574324B,RECOVERY TECHNOLOGY,ION EXCHANGE,,,
CN109574324B,RECOVERY TECHNOLOGY,DISTILLATION,,,
CN109574324B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109516622B,RECOVERY RESOURCES,HYDROCARBON,,,
CN109516622B,RECOVERY TECHNOLOGY,EVAPORATIVE CRYSTALLIZATION,,,
CN109516622B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109516918B,RECOVERY RESOURCES,OTHER ACIDS,,,
CN109516918B,RECOVERY TECHNOLOGY,FILTRATION,,,
CN109516918B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109437486B,RECOVERY RESOURCES,AMMONIUM SULFATE,,,
CN109437486B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109395692B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN109395692B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109354304B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109354304B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109354304B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109354304B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109320012B,RECOVERY RESOURCES,PHOSPHOROUS/ PHOSPHATE,,,
CN109320012B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109320012B,RECOVERY TECHNOLOGY,OTHER TECHNIQUES,,,
CN109320012B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109319998B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109319998B,RECOVERY RESOURCES,SODIUM COMPOUNDS,,,
CN109319998B,RECOVERY TECHNOLOGY,EVAPORATIVE CRYSTALLIZATION,,,
CN109319998B,RECOVERY SOURCES,GENERAL WASTEWATER,,,
CN109179828B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109179828B,RECOVERY TECHNOLOGY,EVAPORATIVE CRYSTALLIZATION,,,
CN109179828B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109111006B,RECOVERY RESOURCES,AMMONIA,,,
CN109111006B,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN109111006B,RECOVERY SOURCES,METALLURGY/ COAL WASTEWATER,,,
CN109095674B,RECOVERY RESOURCES,HEAT/ ENERGY,,,
CN109095674B,RECOVERY TECHNOLOGY,HEAT RECOVERY DEVICE,,,
CN109095674B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109081536B,RECOVERY TECHNOLOGY,ANAEROBIC TREATMENT,,,
CN109081536B,RECOVERY SOURCES,SEWAGE SLUDGE,,,
CN109052743B,RECOVERY RESOURCES,NITROGEN,,,
CN109052743B,RECOVERY SOURCES,OTHER WASTEWATER,,,
CN109052743B,RECOVERED RESOURCE APPLICATIONS,PRINTING/ DYING,,,
CN108947012B,RECOVERY RESOURCES,AMMONIA,,,
CN108947012B,RECOVERY RESOURCES,OTHER RESOURCES,,,
CN108947012B,RECOVERY TECHNOLOGY,DEAMINATION ,,,
CN108947012B,RECOVERY SOURCES,AMMONIA NITROGEN WASTEWATER,,,
CN108947012B,RECOVERY SOURCES,GENERAL INDUSTRIAL WASTE,,,
CN108947012B,RECOVERED RESOURCE APPLICATIONS,CHEMICAL INDUSTRY,,,
CN108911950B,RECOVERY RESOURCES,AMMONIUM COMPOUNDS,,,
CN108911950B,RECOVERY TECHNOLOGY,DIFFERENT DEVICES / EQUIPMENT,,,
CN108911950B,RECOVERY TECHNOLOGY,CRYSTALLIZATION,,,
