Publication Number,Level 1,Level 2,level 3,Level 4,Level 5
CN114168806A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114168806A,PARAMETERS MONITORED,PLANT GROWTH,,,
KR1020220028437A,DATA STORING/ SHARING TECHNOLOGIES,WEB-BASED,,,
KR1020220028437A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR1020220028437A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
KR1020220028437A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
IN202241005850A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241005850A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
IN202241005850A,PARAMETERS MONITORED,CROP DAMAGE,,,
IN202241005850A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
IN202241005850A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
IN202241005850A,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
IN202241005850A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
IN202241005850A,APPLICATIONS,INTELLIGENT SYSTEM/DECISION MAKING,,,
KR1020220023944A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
KR1020220023944A,DATA ANALYTICS,BIG DATA,,,
KR1020220023944A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
KR1020220023944A,PARAMETERS MONITORED,PLANT GROWTH,,,
KR1020220023944A,PARAMETERS MONITORED,WEATHER,,,
KR1020220023944A,APPLICATIONS,PREDICTIONS,SOIL PROPERTIES,,
IN202241000097A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
IN202241000097A,DATA ANALYTICS,IOT,,,
IN202241000097A,DATA ANALYTICS,BLOCK CHAIN,,,
IN202241000097A,DATA ANALYTICS,OTHERS (DATA ANALYTICS),,,
IN202241000097A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202141061691A,DATA ANALYTICS,IOT,,,
CN114092776A,DATA ANALYTICS,IOT,,,
CN114092776A,DATA ANALYTICS,BIG DATA,,,
CN114092776A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN114092776A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114092776A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114092776A,PARAMETERS MONITORED,PLANT GROWTH,,,
NL2028971B1,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
NL2028971B1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
NL2028971B1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202211001066A,DATA ANALYTICS,IOT,,,
IN202211001066A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
IN202211001066A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
IN202211001066A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202211001066A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202211001066A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202211001066A,PARAMETERS MONITORED,PLANT GROWTH,,,
IN202211001066A,PARAMETERS MONITORED,WEATHER,,,
IN202121054597A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202121054597A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
IN202121054597A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
IN202121054597A,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
IN202121054597A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202121054597A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
IN202121054597A,APPLICATIONS,PREDICTIONS,YIELD,,
IN202121054597A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
DE202022100123U1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
DE202022100123U1,DATA ANALYTICS,IOT,,,
DE202022100123U1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
DE202022100123U1,PARAMETERS MONITORED,WEATHER,,,
DE202022100123U1,APPLICATIONS,PREDICTIONS,YIELD,,
DE202022100123U1,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
DE202022100123U1,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
CN114066033A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
CN114066033A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
CN114066033A,DATA ANALYTICS,IOT,,,
CN114066033A,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
CN114066033A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114066033A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114066033A,APPLICATIONS,PREDICTIONS,GROWTH,,
IN202241005025A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202241005025A,DATA ANALYTICS,IOT,,,
IN202241005025A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202241005025A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202241005025A,PARAMETERS MONITORED,PEST AND DISEASE,,,
IN202241005025A,PARAMETERS MONITORED,WEATHER,,,
IN202241004614A,DATA ANALYTICS,IOT,,,
IN202241004614A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202241004614A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
IN202241004614A,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
IN202241004614A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
IN202241004614A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202241004614A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
IN202211004355A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202211004355A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
IN202211004355A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
IN202211004355A,DATA ANALYTICS,IOT,,,
IN202211004355A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202211004355A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
IN202211003743A,DATA ANALYTICS,IOT,,,
IN202211003743A,DATA ANALYTICS,BIG DATA,,,
IN202211003743A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202211003743A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202211003743A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202211003743A,PARAMETERS MONITORED,PLANT GROWTH,,,
IN202211003743A,APPLICATIONS,PREDICTIONS,SOIL PROPERTIES,,
WO2022034985A1,DATA ANALYTICS,BIG DATA,,,
WO2022034985A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
WO2022034985A1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
WO2022034985A1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
WO2022034985A1,APPLICATIONS,PREDICTIONS,GROWTH,,
WO2022034985A1,APPLICATIONS,PREDICTIONS,YIELD,,
CN114049235A,DATA ANALYTICS,IOT,,,
CN114049235A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
CN114049235A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN114049235A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114049235A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114049235A,PARAMETERS MONITORED,PEST AND DISEASE,,,
CN114049235A,PARAMETERS MONITORED,WEATHER,,,
CN114049235A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114049235A,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
CN114041348A,DATA ANALYTICS,BIG DATA,,,
CN114041348A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114041348A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN114041348A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN114041348A,PARAMETERS MONITORED,WEATHER,,,
CN114041348A,APPLICATIONS,IMPROVE/ INCREASE GROWTH,,,
CN114041348A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
CN114044139A,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
CN114044139A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114035500A,DATA ANALYTICS,IOT,,,
CN114035500A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN114035500A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
RO135499A2,DATA ANALYTICS,IOT,,,
RO135499A2,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
RO135499A2,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
RO135499A2,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
RO135499A2,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
RO135499A2,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
RO135499A2,COMMUNICATION TECHNOLOGIES,WI-FI,,,
RO135499A2,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
RO135499A2,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
RO135499A2,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
CN114018327A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114018327A,APPLICATIONS,PREDICTIONS,GROWTH,,
CN114018327A,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
CN114020961A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN114020961A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN114020961A,PARAMETERS MONITORED,PEST AND DISEASE,,,
CN114020961A,PARAMETERS MONITORED,WEATHER,,,
CN114020961A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN114020961A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
CN114018315A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN114018315A,PARAMETERS MONITORED,OTHER PARAMETERS,,,
CN114018315A,APPLICATIONS,PREDICTIONS,GROWTH,,
CN114018315A,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
CN114018315A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
KR102432867B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,DEEP LEARNING,,
KR102432867B1,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
KR102432867B1,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
KR102432867B1,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
KR102432867B1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
KR102432867B1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
KR102432867B1,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR102432867B1,APPLICATIONS,INTELLIGENT SYSTEM/DECISION MAKING,,,
CN113973564A,DATA ANALYTICS,IOT,,,
CN113973564A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN113973564A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN113973564A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN113973564A,PARAMETERS MONITORED,PEST AND DISEASE,,,
CN113973564A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN113973564A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN113973564A,APPLICATIONS,PREDICTIONS,GROWTH,,
CN113973564A,APPLICATIONS,PREDICTIONS,FERTILIZATION,,
CN113973564A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR102434210B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,COMPUTER VISION,,
KR102434210B1,DATA ANALYTICS,IOT,,,
KR102434210B1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
KR102434210B1,APPLICATIONS,PREDICTIONS,GROWTH,,
KR102434210B1,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
IN202141054863A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202141054863A,DATA ANALYTICS,IOT,,,
IN202141054863A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202141054863A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
IN202141054863A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
IN202141054863A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202141054863A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141054863A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202141054863A,PARAMETERS MONITORED,PEST AND DISEASE,,,
IN202141054863A,APPLICATIONS,PREDICTIONS,YIELD,,
IN202141054863A,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
IN202141054863A,APPLICATIONS,PREDICTIONS,DISEASE AND PEST PREDICTION,,
IN202141054063A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202141054063A,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
IN202141054063A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202141054063A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141054063A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202141054063A,APPLICATIONS,PREDICTIONS,GROWTH,,
IN202141054063A,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
IN202141054063A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
IN202141045106A,DATA ANALYTICS,IOT,,,
IN202141045106A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
IN202141045106A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141045106A,PARAMETERS MONITORED,WEATHER,,,
IN202141045106A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
IN202141045106A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
IN202141045106A,APPLICATIONS,OTHER APPLICATIONS,,,
KR102347342B1,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
KR102347342B1,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
KR102347342B1,COMMUNICATION TECHNOLOGIES,WI-FI,,,
KR102347342B1,PARAMETERS MONITORED,WEATHER,,,
KR102347342B1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
KR102347342B1,APPLICATIONS,DATA REPRESENTATION,TABLES,,
KR102347342B1,APPLICATIONS,PREDICTIONS,GROWTH,,
KR102347342B1,APPLICATIONS,PREDICTIONS,YIELD,,
KR102347342B1,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
IN202141053289A,DATA ANALYTICS,IOT,,,
IN202141053289A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202141053289A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202141053289A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141053289A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202141053289A,PARAMETERS MONITORED,WEATHER,,,
IN202141053289A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
IN202141053289A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
IN202141053289A,APPLICATIONS,IMPROVE/ INCREASE GROWTH,,,
IN202141053289A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
IN202141052788A,DATA ANALYTICS,IOT,,,
IN202141052788A,DATA STORING/ SHARING TECHNOLOGIES,WEB-BASED,,,
IN202141052788A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
IN202141052788A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141052788A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
IN202141052788A,PARAMETERS MONITORED,FARM YIELD,,,
IN202141052788A,APPLICATIONS,DATA REPRESENTATION,TABLES,,
IN202141052788A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
IN202141052788A,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
CN113919964A,DATA ANALYTICS,IOT,,,
CN113919964A,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
CN113919964A,COMMUNICATION TECHNOLOGIES,LORA WAN,,,
CN113919964A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN113919964A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN113919964A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN113919964A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN113919964A,APPLICATIONS,PREDICTIONS,FERTILIZATION,,
CN113919964A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
CN113919615A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN113919615A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
CN113919615A,PARAMETERS MONITORED,WEATHER,,,
CN113919615A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
CN113920441A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
CN113920441A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
CN113920441A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
CN113883364A,DATA ANALYTICS,IOT,,,
CN113883364A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN113883364A,PARAMETERS MONITORED,PEST AND DISEASE,,,
CN113883364A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR102422346B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
KR102422346B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
KR102422346B1,DATA ANALYTICS,IOT,,,
KR102422346B1,DATA ANALYTICS,BLOCK CHAIN,,,
KR102422346B1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
KR102422346B1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
KR102422346B1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR102422346B1,APPLICATIONS,PREDICTIONS,GROWTH,,
KR102422346B1,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
CN113841593A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
CN113841593A,DATA ANALYTICS,IOT,,,
CN113841593A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
CN113841593A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
CN113841593A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
CN113841593A,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
CN113841593A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
CN113841593A,PARAMETERS MONITORED,PLANT GROWTH,,,
CN113841593A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
IN202141046167A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
IN202141046167A,DATA ANALYTICS,IOT,,,
IN202141046167A,DATA STORING/ SHARING TECHNOLOGIES,WEB-BASED,,,
IN202141046167A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
IN202141046167A,PARAMETERS MONITORED,WEATHER,,,
IN202141046167A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
AU2021106981A4,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
AU2021106981A4,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,MACHINE LEARNING,,
AU2021106981A4,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
AU2021106981A4,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
AU2021106981A4,COMMUNICATION TECHNOLOGIES,RF (RADIO FREQUENCY),,,
AU2021106981A4,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
AU2021106981A4,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
AU2021106981A4,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
AU2021106981A4,PARAMETERS MONITORED,PLANT GROWTH,,,
AU2021106981A4,PARAMETERS MONITORED,OTHER PARAMETERS,,,
AU2021106981A4,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
AU2021106981A4,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
AU2021106981A4,APPLICATIONS,IMPROVE/ INCREASE YIELD ,,,
WO2021256621A1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
WO2021256621A1,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
WO2021256621A1,PARAMETERS MONITORED,PLANT GROWTH,,,
WO2021256621A1,APPLICATIONS,PREDICTIONS,YIELD,,
WO2021256621A1,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
WO2021256621A1,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
WO2021256621A1,APPLICATIONS,OTHER APPLICATIONS,,,
KR102362153B1,DATA ANALYTICS,BIG DATA,,,
KR102362153B1,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
KR102362153B1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR102362153B1,PARAMETERS MONITORED,PEST AND DISEASE,,,
KR102362153B1,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
US10617071B2,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
US10617071B2,COMMUNICATION TECHNOLOGIES,GPS/GNSS/GIS,,,
US10617071B2,COMMUNICATION TECHNOLOGIES,WI-FI,,,
US10617071B2,COMMUNICATION TECHNOLOGIES,WIRELESS (GENERAL),,,
US10617071B2,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
US10617071B2,APPLICATIONS,PREDICTIONS,WEATHER/ ENVIRONMENT PREDICTION,,
KR1020210149623A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
KR1020210149623A,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,NEURAL NETWORKS,,
KR1020210149623A,COMMUNICATION TECHNOLOGIES,ZIGBEE,,,
KR1020210149623A,COMMUNICATION TECHNOLOGIES,CELLULAR,2G OR 3G OR 4G,,
KR1020210149623A,COMMUNICATION TECHNOLOGIES,WI-FI,,,
KR1020210149623A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR1020210149623A,PARAMETERS MONITORED,PLANT GROWTH,,,
KR1020210149623A,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
KR1020210149623A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR1020210147568A,DATA ANALYTICS,BIG DATA,,,
KR1020210147568A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
KR1020210147568A,DATA STORING/ SHARING TECHNOLOGIES,OTHER DATA STORING/ SHARING MEANS,,,
KR1020210147568A,PARAMETERS MONITORED,SOIL PARAMETERS ANALYSIS,,,
KR1020210147568A,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR1020210147568A,PARAMETERS MONITORED,PLANT GROWTH,,,
KR1020210147568A,PARAMETERS MONITORED,FARM YIELD,,,
KR1020210147568A,APPLICATIONS,DATA REPRESENTATION,TABLES,,
KR1020210147568A,APPLICATIONS,PREDICTIONS,OTHER PREDICTIONS,,
KR102331141B1,DATA ANALYTICS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE (GENERAL),,
KR102331141B1,DATA ANALYTICS,BIG DATA,,,
KR102331141B1,PARAMETERS MONITORED,FIELD ENVIRONMENT,,,
KR102331141B1,APPLICATIONS,PROVIDES RECOMMENDATIONS/SUGGESTIONS,,,
KR102331141B1,APPLICATIONS,DATA REPRESENTATION,CHARTS,,
KR102331141B1,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
IN202111048717A,DATA ANALYTICS,IOT,,,
IN202111048717A,DATA STORING/ SHARING TECHNOLOGIES,CLOUD BASED,,,
IN202111048717A,COMMUNICATION TECHNOLOGIES,BLUETOOTH,,,
IN202111048717A,PARAMETERS MONITORED,FARM YIELD,,,
IN202111048717A,APPLICATIONS,PREDICTIONS,CROP PREDICTION,,
